id,collection,dc.contributor.advisor,dc.contributor.advisor[],dc.contributor.author,dc.contributor.author[],dc.contributor.other,dc.contributor.other[],dc.date.accessioned,dc.date.available,dc.date.issued,dc.date.issued[],dc.description,dc.description.abstract,dc.description.abstract[],dc.description.provenance[],dc.description.provenance[en],dc.description.version[],dc.description[],dc.format.extent,dc.format.extent[],dc.identifier.isbn,dc.identifier.isbn[],dc.identifier.issn,dc.identifier.issn[],dc.identifier.other[],dc.identifier.uri,dc.identifier.uri[],dc.language.iso,dc.language.iso[],dc.publisher,dc.publisher[],dc.relation.ispartofseries[],dc.subject,dc.subject[],dc.title,dc.title.alternative,dc.title.alternative[],dc.title[],dc.type,dc.type[],dlc.field1,dlc.khoabiensoan,dlc.maintopic,drm.version.number,dspace.entity.type,dspace.entity.type[vn],dspace.object.owner,organization.address.addressCountry,organization.address.addressLocality,organization.foundingDate,organization.legalName,person.academic.rank,person.birthDate,person.contributor.other,person.displayName,person.email,person.familyName,person.givenName,person.jobTitle,relation.isAuthorOfPublication,relation.isAuthorOfPublication.latestForDiscovery,relation.isOrgUnitOfPerson,relation.isOrgUnitOfPerson.latestForDiscovery,relation.isPersonOfOrgUnit,relation.isPersonOfOrgUnit.latestForDiscovery,relation.isPublicationOfAuthor,relation.isPublicationOfAuthor.latestForDiscovery
00a92b5a-6fe9-4296-88a4-6f52fb77acda,UNETI/362,,"Lưu, Khánh Cường",,"Nguyễn, Thị Thanh Huyền",,,2024-03-17T04:14:09Z,2024-03-17T04:14:09Z,,2019,,,,,"Made available in DSpace on 2024-03-17T04:14:09Z (GMT). No. of bitstreams: 1
zNguyenThiThanhHuyen.pdf: 1221812 bytes, checksum: df460de8517fa0a1f64819e8d97a65bb (MD5)
  Previous issue date: 2019",,,,95 tr.,,,,,12092,https://dlib.uneti.edu.vn/handle/UNETI/2722,,,vi,,,,,Nguồn nhân lực||Năng cao chất lượng||Quản trị và Marketing||Quản trị kinh doanh,,,,Năng cao chất lượng nguồn nhân lực tại công ty TNHH thương mại sản xuất và kỹ thuật Hải Đăng,,Khóa luận tốt nghiệp,,,,,Publication,,,,,,,,,,,,,,,,,,,,,,
00bec3a2-1467-48f1-834e-1a10345d82f6,UNETI/387,,,,"Đặng, Thị Hương Giang",,"Trần, Thị Hường",2024-03-17T04:27:53Z,2024-03-17T04:27:53Z,,2019,,,,,"Made available in DSpace on 2024-03-17T04:27:53Z (GMT). No. of bitstreams: 1
13437.pdf: 2949964 bytes, checksum: 5766befdfc3b28f6526b4ef5edb589cc (MD5)
  Previous issue date: 2019",,ĐTTS ghi: Trường ĐHKTKTCN,,159 tr.,,,,,13437,https://dlib.uneti.edu.vn/handle/UNETI/3634,,,vi,,,,,Truyền tin||Mã hóa||Điện tử||Công nghệ kỹ thuật điện tử - viễn thông,,,,Tài liệu học tập cơ sở truyền tin và mã hóa : Lưu hành nội bộ,,Tài liệu học tập,,,,,Publication,,,,,,,,,,,,,,,,,,,,,,
00e7c0d0-e37e-464a-9e46-d59805b9aa59,UNETI/434,,,,"Đinh, Thị Thư",,,2024-03-17T03:50:08Z,2024-03-17T03:50:08Z,,2005,,,"Cung cấp một số kiến thức cơ bản, tổng quan về du lịch, khách sạn và thị trường du lịch, khách sạn. Trình bày các vấn đề kinh tế trong doanh nghiệp du lịch - khách sạn như: cơ sở vật chất, lao động tiền lương, giá cả hàng hóa dịch vụ, chiến lược kinh doan",,"Made available in DSpace on 2024-03-17T03:50:08Z (GMT). No. of bitstreams: 1
z_GiaoTrinhKinhTeDuLichKhachSan.pdf: 16082656 bytes, checksum: f1ea852466ca5ce5b48ac6c66cb8a0b3 (MD5)
  Previous issue date: 2005",,,,239 tr.,,,,,28610,https://dlib.uneti.edu.vn/handle/UNETI/965,,,vi,,Nxb. Hà Nội,,,Kinh tế du lịch||Khách sạn||Du lịch và khách sạn||QT dịch vụ du lịch và lữ hành,,,Giáo trình kinh tế du lịch khách sạn,Giáo trình kinh tế du lịch - khách sạn,,Sách giáo trình,,,,,,,,,,,,,,,,,,,,,,,,,,,
00e7fb66-cf2c-44bf-8b12-a09bfcf97268,UNETI/370,,,,"Nguyễn, Hà Vân",,"Nguyễn, Thị Kim Thoa",2024-03-17T04:03:37Z,2024-03-17T04:03:37Z,,2021,,,Trình bày một số vấn đề lý luận chung về vốn kinh doanh và sự cần thiết nâng cao hiệu quả sử dụng vốn kinh doanh. Thực trạng công tác tổ chức và hiệu quả sử dụng vốn kinh doanh tại công ty Cổ phần Tập đoàn Hà Đô. Đề xuất một số giải pháp chủ yếu nhằm góp,,"Made available in DSpace on 2024-03-17T04:03:37Z (GMT). No. of bitstreams: 1
ZKLTN_TN11A2_NGUYENTHIKIMHOA_NGUYENHAVAN.pdf: 1504211 bytes, checksum: a87a02251fa7660f0cbc1d9254cff98e (MD5)
  Previous issue date: 2021",,ĐTTS ghi: Trường ĐHKTKTCN,,83 tr.,,,,,26486,https://dlib.uneti.edu.vn/handle/UNETI/1692,,,,,,,,Hiệu quả||Công ty CP||Vốn kinh doanh||Tài chính - ngân hàng và bảo hiểm||Tài chính - Ngân hàng,,,,Vốn kinh doanh và giải pháp nâng cao hiệu quả sử dụng vốn kinh doanh tại công ty cổ phần tập đoàn Hà Đô,,Khóa luận tốt nghiệp,,,,,Publication,,,,,,,,,,,,,,,,,,,,,,
00e9d44c-fba7-4ac6-a112-88994fac040c,UNETI/366,,"Trần, Thị Ngọc Hà",,"Đào, Hồng Ngọc",,,2024-03-17T04:25:09Z,2024-03-17T04:25:09Z,,,,,,,"Made available in DSpace on 2024-03-17T04:25:09Z (GMT). No. of bitstreams: 1
zDaoHongNgoc.pdf: 1786019 bytes, checksum: 3f916bec4d0f1694c0cff998de49346d (MD5)",,,,80 tr.,,,,,11653,https://dlib.uneti.edu.vn/handle/UNETI/3296,,,vi,,,,,Kế toán bán hàng||Xác định kết quả kinh doanh||Nguyễn Gia||Kế toán||Kế toán,,,,Kế toán bán hàng và xác định kết quả kinh doanh tại Công Ty TNHH thiết bị vật tư Nguyễn Gia,,Khóa luận tốt nghiệp,,,,,Publication,,,,,,,,,,,,,,,,,,,,,,
00f87ef9-3a36-4a65-bb74-a528d408de94,UNETI/387,,,"Phùng, Thị Lan Hương::virtual::638::600",,,"Lê, Nguyễn Diệu Anh",2024-03-17T04:25:51Z,2024-03-17T04:25:51Z,,2022,,,Tổng quan về xây dựng dữ liệu đề bài. Phân tích cơ cấu tài sản và nguồn vốn. Phân tích diễn biến nguồn vốn và sử dụng vốn. Phân tích hòa vốn. Phân tích các chỉ số tài chính. Phân tích Dupont. Dự báo doanh thu của doanh nghiệp. Dự báo khó khăn tài chính. Đ,,"Made available in DSpace on 2024-03-17T04:25:51Z (GMT). No. of bitstreams: 1
zTLHT_TieuLuan2PhanTichTNDN.pdf: 3291970 bytes, checksum: ab9165a2a0d2ee5e429c201b61e5ceec (MD5)
  Previous issue date: 2022",,,,164 tr.,,,,,28880,https://dlib.uneti.edu.vn/handle/UNETI/3396,,,vi,,,,,Tài chính doanh nghiệp||Tài liệu học tập||Phân tích||Tiểu luận||Tài chính - Ngân hàng và Bảo hiểm||Tài chính - Ngân hàng,,,,Tài liệu học tập Tiểu luận 2: Phân tích tài chính doanh nghiệp,,Tài liệu học tập,,,,,Publication,,,,,,,,,,,,,,,f5593ebf-0b65-4e65-81f0-d0b2ec4e0d8e::virtual::638::600,f5593ebf-0b65-4e65-81f0-d0b2ec4e0d8e::virtual::638::600,,,,,,
010244b1-6ae3-4baf-abca-fab626bdc516,UNETI/370,,"Nguyễn, Ngọc Hải",,"Phạm, Mai Phương",,,2024-03-17T04:06:57Z,2024-03-17T04:06:57Z,,2020,,,"Tìm hiểu, phân tích tình hình hoạt động kinh doanh thẻ từ 2017-2019 của ngân hàng TMCP Sài Gòn cũng như đánh giá thực trạng phát triển sản phẩm, dịch vụ thẻ tại ngân hàng SCB đó tìm ra hạn chế và cuối cùng là tìm cách khắc phục, phát triển kinh doanh.",,"Made available in DSpace on 2024-03-17T04:06:57Z (GMT). No. of bitstreams: 1
zPhamMaiPhuong.pdf: 1671392 bytes, checksum: 1bc69dc26669a7fb1f8c74ce9a5c6c7f (MD5)
  Previous issue date: 2020",,ĐTTS ghi: Trường ĐHKTKTCN,,79 tr.,,,,,23056,https://dlib.uneti.edu.vn/handle/UNETI/2054,,,,,,,,Tài chính ngân hàng||Tài chính - ngân hàng và bảo hiểm||Tài chính doanh nghiệp,,,,Phát triển dịch vụ thẻ tại Ngân hàng thương mại cổ phần Sài Gòn,,Khóa luận tốt nghiệp,,,,,Publication,,,,,,,,,,,,,,,,,,,,,,
011079dd-df80-4fc4-908a-3da2fbf97291,UNETI/434,,,,"Hughes, Arthur",,,2024-03-17T04:43:47Z,2024-03-17T04:43:47Z,,2003,,,"Teaching and testing, testing as problem solving: an overview of the book, kinds of tests and testing, validity, Reliability, achieving beneficial backwash, stages of test development, common test techniques, testing writing, testing oral ability, testing",,"Made available in DSpace on 2024-03-17T04:43:47Z (GMT). No. of bitstreams: 1
zTesting for languge teachers.pdf: 43168421 bytes, checksum: 975013f32edf42c5e0d4892042d18097 (MD5)
  Previous issue date: 2003",Second edition,,,"XI, 250 p",,9780230723214,,,30712,https://dlib.uneti.edu.vn/handle/UNETI/4199,,,en,,Cambridge,,,Testing||English||Ngoại ngữ||Ngôn ngữ anh,,,,Testing for Language Teachers,,Sách ngoại văn,,,,,,,,,,,,,,,,,,,,,,,,,,,
011e08c7-acfe-459d-b25d-40616aee8178,UNETI/434,,,,"Marinescu, Dan C.",,,2024-03-17T04:41:33Z,2024-03-17T04:41:33Z,,2012,,,"Cloud Computing: Theory and Practice provides students and IT professionals with an in-depth analysis of the cloud from the ground up. After an introduction to network-centric computing and network-centric content, the book reviews basic concepts of concu",,"Made available in DSpace on 2024-03-17T04:41:33Z (GMT). No. of bitstreams: 1
zCloud Computing Theory and Practice.pdf: 333943 bytes, checksum: 6527f74cbc92e83594c4fa0132651083 (MD5)
  Previous issue date: 2012",,,,61 tr.,,,,,27789,https://dlib.uneti.edu.vn/handle/UNETI/4074,,,en,,University of Central Florida,,,Practice||Theory||Công nghệ thông tin||Công nghệ thông tin,,,,Cloud Computing: Theory and Practice,,Sách ngoại văn,,,,,,,,,,,,,,,,,,,,,,,,,,,
01501d7b-c368-4553-bd64-826c2fccb167,UNETI/434,,,,"Phạm, Thị Ngoan",,,2024-03-17T04:40:33Z,2024-03-17T04:40:33Z,,,,,"Tiếp cận các vấn đề, quan sát nghiệp vụ thực tế, cách thức quản lý và cơ cấu tổ chức của điểm đến",,"Made available in DSpace on 2024-03-17T04:40:33Z (GMT). No. of bitstreams: 1
z_KienTapTour.pdf: 1937273 bytes, checksum: 3f90cc56cc5ce98599b2a1eaa8e126e9 (MD5)",,,,47 tr.,,,,,28623,https://dlib.uneti.edu.vn/handle/UNETI/4009,,,vi,,,,,Tour||Du lịch||Du lịch và khách sạn||QT dịch vụ du lịch và lữ hành,,,,Kiến tập tour = Tour observation,,Sách tham khảo,,,,,,,,,,,,,,,,,,,,,,,,,,,
01698faf-1c3b-4219-ba51-47fd8605adfe,UNETI/434,,,,"Nguyễn, Thị Thùy",,,2024-03-17T04:44:09Z,2024-03-17T04:44:09Z,,2022,,,"Quy tắc an toàn trong phòng thí nghiệm cơ, lý, hóa ngành dệt, thiết bị, dụng cụ hóa chất thí nghiệm cơ bản, một số qui chuẩn và kỹ năng cơ bản trong phòng thí nghiệm vật liệu dệt",,"Made available in DSpace on 2024-03-17T04:44:09Z (GMT). No. of bitstreams: 1
TLHT_KyNangNgheNghiepNganhCNSoiDetZ.pdf: 1890842 bytes, checksum: 765655e8fdefc52803a023949153fb27 (MD5)
  Previous issue date: 2022",,ĐTTS ghi: Trường ĐHKTKTCN,,56 tr.,,,,,30758,https://dlib.uneti.edu.vn/handle/UNETI/4217,,,vi,,,,,"Sợi dệt||TLHT2022||Tài liệu học tập||Dệt may và Thời trang||Công nghệ sợi, dệt",,,,Tài liệu học tập Kỹ năng nghề nghiệp ngành công nghiệp sợi dệt : Skills in textile technology,,Tài liệu học tập,,,,,,,,,,,,,,,,,,,,,,,,,,,
0192aaf0-bd43-44f3-b6b2-f7c4b246963c,UNETI/372,,"Nguyễn, Tuấn Hưng",,"Bùi, Văn Tân",,"Ngô, Văn Trường",2024-03-17T03:47:59Z,2024-03-17T03:47:59Z,,2023,,,"Giới thiệu tổng quan về máy đo độ tròn; nêu ra giải pháp nâng cao độ chính xác của phép đo độ tròn bằng phương pháp sử dụng 3 đầu đo. Trình bày thiết kế hệ thống điều khiển cho máy đo độ tròn trong tọa độ cực. Thực nghiệm, lắp ráp hệ thống điều khiển và đ",,"Made available in DSpace on 2024-03-17T03:47:59Z (GMT). No. of bitstreams: 1
zBVTan_NVTruong_K13_CK.pdf: 5504536 bytes, checksum: 069a8bcf5dcd93053f6215301e074475 (MD5)
  Previous issue date: 2023",,ĐTTS ghi: Bộ Công thương. Trường Đại học Kinh tế - Kỹ thuật công nghiệp,,"XIV, 89 tr.",,,,,30028,https://dlib.uneti.edu.vn/handle/UNETI/733,,,vi,,,,,Máy đo độ tròn||Hệ thống điều khiển||Tọa độ cực||Cơ khí||Công nghệ kỹ thuật cơ khí,,,,Tính toán thiết kế chế tạo hệ thống điều khiển của máy đo độ tròn trong tọa độ cực,,Khóa luận tốt nghiệp,,,,,Publication,,,,,,,,,,,,,,,,,,,,,,
01c05447-63aa-463c-9ed8-03f0ca70ba17,UNETI/387,,,,"Trần, Thị Thu Hường",,"Phạm, Anh Tuấn",2024-03-17T04:25:15Z,2024-03-17T04:25:15Z,,2022,,,"Giới thiệu về IOTS, hệ thống IOT, giao tiếp thế giới thực, lập trình IOT với ESP, lập trình IOT với RASPBERRY PI",,"Made available in DSpace on 2024-03-17T04:25:15Z (GMT). No. of bitstreams: 1
zTLHT_PhatTrienUngDungIOT.pdf: 7517311 bytes, checksum: f2d90e1d1eedc268c35460a9c47e3868 (MD5)
  Previous issue date: 2022",,ĐTTS ghi: Trường ĐHKTKTCN,,"VII, 185 tr.",,,,,27402,https://dlib.uneti.edu.vn/handle/UNETI/3311,,,,,,,,Ứng dụng IOT||Tài liệu học tập||Điện tử||Công nghệ kỹ thuật điện tử - viễn thông,,,,Tài liệu học tập Phát triển ứng dụng IOT,,Tài liệu học tập,,,,,Publication,,,,,,,,,,,,,,,,,,,,,,
01e457d5-ca0a-4e51-a1ef-71f5c6ea3c64,UNETI/362,,"Trần, Thị vân",,"Nguyễn, Trọng Đức",,,2024-03-17T04:12:03Z,2024-03-17T04:12:03Z,,2022,,,"Đối tượng nghiên cứu của đề tài là các vấn đề lý luận và thực tiễn của hoạt động truyền thông thương hiệu mà công ty đã ứng dụng và sự tác động của hoạt động này tới hiệu quả bán hàng tại CTCP Thực phẩm Hữu Nghị, thực trạng truyền thông thương hiệu của cô",,"Made available in DSpace on 2024-03-17T04:12:03Z (GMT). No. of bitstreams: 1
NguyenTrongDucZ.pdf: 2004674 bytes, checksum: b4d7106cc7daf7cfd29d8f90f298b59b (MD5)
  Previous issue date: 2022",,ĐTTS ghi: Trường ĐHKTKTCN,,96 tr.,,,,,26946,https://dlib.uneti.edu.vn/handle/UNETI/2498,,,vi,,,,,Thực trạng truyền thông||Tiêu thụ hàng hóa||Kinh doanh||Quản trị và Marketing||Quản trị kinh doanh,,,,Giải pháp đẩy mạnh hoạt động truyền thông thương hiệu nhằm nâng cao hiệu quả bán hàng tại Công ty Cổ phần Thực phẩm Hữu Nghị,,Khóa luận tốt nghiệp,,,,,Publication,,,,,,,,,,,,,,,,,,,,,,
01ecbd36-3071-4973-86ef-af2f50b6ef40,UNETI/387,,,"Phạm, Thị Thu Hoài::virtual::529::600",,,"Đỗ, Thị Minh Hạnh",2024-03-17T04:24:21Z,2024-03-17T04:24:21Z,,2022,,,"Những kiến thức cơ bản về không khí, các hệ thống điều tiết không khí, cân bằng nhiệt và ẩm trong phòng, các quá trình, phương pháp và thiết bị xử lý nhiệt ẩm, trao đổi nhiệt ẩm giữa không khí và nước, buồng máy điều hòa không khí, trao đổi không khí",,"Made available in DSpace on 2024-03-17T04:24:21Z (GMT). No. of bitstreams: 1
zTLHT_ThongGio.pdf: 3991594 bytes, checksum: 343396996fe8068596092374b8983f05 (MD5)
  Previous issue date: 2022",,ĐTTS ghi: Trường Đại học Kinh tế - Kỹ thuật Công nghiệp,,109 tr.,,,,,26750,https://dlib.uneti.edu.vn/handle/UNETI/3160,,,vi,,,,,"Tài liệu học tập||Thông gió||Công nghệ thực phẩm||Công nghệ thực phẩm||Công nghệ sợi, dệt",,,,Tài liệu học tập thông gió,,Tài liệu học tập,,,,,Publication,,,,,,,,,,,,,,,95c8e532-9180-477a-a0f5-83a15479035e::virtual::529::600,95c8e532-9180-477a-a0f5-83a15479035e::virtual::529::600,,,,,,
